id,companyId,number,product,product_en,name,product_img
206,78,1,泡打粉,Baking powder,Societé Marocaine de Fabrication et Conditionnement,SME/Societé Marocaine de Fabrication et Conditionnement/1.jpg
207,78,2, 汤类与高汤,Soups and broths,Societé Marocaine de Fabrication et Conditionnement,SME/Societé Marocaine de Fabrication et Conditionnement/2.jpg
208,78,3,墨西哥薄饼,TORTILLA,Societé Marocaine de Fabrication et Conditionnement,SME/Societé Marocaine de Fabrication et Conditionnement/3.jpg
209,78,4,焦糖布丁,FLANS,Societé Marocaine de Fabrication et Conditionnement,SME/Societé Marocaine de Fabrication et Conditionnement/4.jpg
210,78,5,糕点奶油,Pastry cream,Societé Marocaine de Fabrication et Conditionnement,SME/Societé Marocaine de Fabrication et Conditionnement/5.jpg
211,78,6,冰淇淋预拌粉,ice cream mix,Societé Marocaine de Fabrication et Conditionnement,SME/Societé Marocaine de Fabrication et Conditionnement/6.jpg
212,78,7,混合香料,spices mix,Societé Marocaine de Fabrication et Conditionnement,SME/Societé Marocaine de Fabrication et Conditionnement/7.jpg
213,79,1,木薯粉”,Cassava Flour,Royal Winosa Industries Ltd,SME/Royal Winosa Industries Ltd/1.jpg
214,79,2,淀粉,Starch,Royal Winosa Industries Ltd,SME/Royal Winosa Industries Ltd/2.jpg
215,79,3, 木薯片,Chips,Royal Winosa Industries Ltd,SME/Royal Winosa Industries Ltd/3.jpg
216,79,4,大蕉粉,Plantain flour,Royal Winosa Industries Ltd,SME/Royal Winosa Industries Ltd/4.jpg
217,79,5,豆类面粉和香料,Beans Flour and Species ,Royal Winosa Industries Ltd,SME/Royal Winosa Industries Ltd/5.jpg
218,80,1,沙丁鱼和咖啡,Sardines and coffee,MEGA Prime Foods Inc.,SME/MEGA Prime Foods Inc./1.jpg
219,81,1,泰国阿拉比卡咖啡,Thai Arabica Coffee,"Hillkoff co.,ltd.","SME/Hillkoff co.,ltd./1.jpg"
220,81,2,意式浓缩低碳咖啡,Espresso Low Carbon Coffee,"Hillkoff co.,ltd.","SME/Hillkoff co.,ltd./2.jpg"
221,81,3,咖啡樱桃提取物,Coffee cherry extract,"Hillkoff co.,ltd.","SME/Hillkoff co.,ltd./3.jpg"
